0	10284
1	32
2	57
3	57
4	69
5	60
6	70
7	51
8	70
9	57
10	67
11	62
12	72
13	71
14	53
15	55
16	74
17	68
18	75
19	60
20	73
21	84
22	63
23	68
24	69
25	66
26	70
27	78
28	81
29	75
30	71
31	87
32	67
33	76
34	95
35	86
36	69
37	70
38	70
39	68
40	96
41	63
42	75
43	87
44	91
45	84
46	97
47	94
48	113
49	107
50	103
51	84
52	115
53	98
54	108
55	97
56	94
57	121
58	105
59	111
60	101
61	107
62	106
63	130
64	134
65	114
66	115
67	106
68	120
69	125
70	112
71	121
72	111
73	111
74	136
75	134
76	115
77	136
78	143
79	141
80	139
81	145
82	167
83	162
84	134
85	135
86	143
87	168
88	167
89	164
90	154
91	163
92	149
93	166
94	161
95	159
96	189
97	189
98	179
99	207
100	185
101	175
102	170
103	194
104	190
105	179
106	176
107	173
108	195
109	197
110	207
111	207
112	211
113	204
114	230
115	224
116	195
117	224
118	219
119	245
120	230
121	238
122	223
123	216
124	249
125	243
126	276
127	241
128	240
129	259
130	273
131	267
132	289
133	289
134	278
135	311
136	295
137	310
138	318
139	305
140	335
141	351
142	364
143	369
144	381
145	365
146	356
147	404
148	429
149	416
150	405
151	421
152	460
153	446
154	442
155	462
156	486
157	481
158	448
159	542
160	484
161	572
162	558
163	509
164	602
165	593
166	624
167	582
168	629
169	683
170	689
171	691
172	712
173	705
174	749
175	731
176	744
177	784
178	845
179	884
180	832
181	881
182	954
183	960
184	986
185	1070
186	1024
187	1105
188	1180
189	1174
190	1184
191	1220
192	1354
193	1330
194	1507
195	1524
196	1576
197	1648
198	1701
199	1841
200	1978
201	2045
202	2188
203	2184
204	2322
205	2512
206	2644
207	2889
208	3079
209	3324
210	3450
211	3785
212	4090
213	4421
214	4815
215	5195
216	5653
217	6357
218	6881
219	7843
220	8480
221	9615
222	11074
223	12492
224	15140
225	18800
226	23771
227	31132
228	40793
229	56584
230	81969
231	127067
232	208506
233	348361
234	578073
235	915313
236	1320338
237	1631130
238	1608935
239	1208156
240	688737
241	325585
242	171884
243	145099
244	201243
245	800746
246	6748738
247	26479296
248	35711734
249	12433720
250	961517
251	413743
252	720448
253	69369
254	207
255	662096
